cycle,equity
1,9992.417854353256
2,9989.5038205516
3,10008.744533164208
4,10020.339134692531
5,10015.328965125185
6,10022.384133858191
7,10020.371614276466
8,10015.361428469329
9,9999.799780954954
10,10008.64269397789
11,9999.272542696333
12,9994.272906424985
13,9988.526704209686
14,9958.014377247184
15,9945.369502589398
16,9940.396817838104
17,9913.673403438917
18,9949.395027123977
19,9982.53272447199
20,9977.541458109754
21,9972.194641249807
22,9967.208543929182
23,9953.064745084843
24,9948.285639840176
25,9964.001301940978
26,9959.019301290007
27,9969.089273156691
28,9964.104728520113
29,9978.299950297804
30,9966.89566502777
31,9977.482609093191
32,9972.493867788646
33,9969.492572717276
34,9964.507826430918
35,9954.895226303512
36,9934.806438338677
37,9929.839035119508
38,9965.159017066977
39,9960.176437558444
40,9943.251816598033
41,9927.43248907119
42,9910.969984757567
43,9911.454464736871
44,9922.092166840477
45,9942.672591022167
46,9906.266091508493
47,9931.640714182227
48,9897.634115155766
49,9882.211458714964
50,9924.106373220386
51,9975.084456606908
52,9970.096914378606
53,9963.87330040873
54,9960.09284601328
55,9962.96427044213
56,9966.854363566374
57,9961.870936384592
58,9943.596773016803
59,9939.419326112107
60,9934.313088471941
61,9950.958581957959
62,9945.98310266698
63,9960.401636741448
64,9955.421435923077
65,9956.843494059662
66,9951.865072312632
67,9920.781487122933
68,9906.77266656369
69,9900.020530852295
70,9914.528386349786
71,9907.452291493399
72,9907.288244096573
73,9902.334599974525
74,9890.82239092555
75,9861.427898344973
76,9869.256350401065
77,9846.688279922348
78,9855.928988748112
79,9859.917416301007
80,9858.242834220777
81,9882.30489732951
82,9877.363744880846
83,9854.399478940033
84,9849.472279200563
85,9845.199905759424
86,9836.937573282543
87,9812.374327337822
88,9829.689672389053
89,9824.77482755286
90,9812.049879071927
91,9824.936875504744
92,9812.940766361688
93,9803.114617301911
94,9796.846058646495
95,9800.08888282532
96,9795.188838383907
97,9801.1448707988
98,9791.69089810463
99,9776.678792478693
100,9747.869508049675
101,9735.380901696139
102,9739.206871976996
103,9747.088793494211
104,9751.519927842919
105,9740.703210844888
106,9721.730541345829
107,9729.348985697936
108,9735.364973156893
109,9724.241576531098
110,9756.091013840129
111,9720.662429098173
112,9668.522407341183
113,9633.861141760684
114,9647.715844588018
115,9641.895308587102
116,9626.369673765226
117,9658.461351529406
118,9663.389913158137
119,9658.558218201559
120,9684.985071799585
121,9680.142579263686
122,9681.864674370689
123,9645.545469594068
124,9662.366161341059
125,9657.534978260388
126,9659.187629526694
127,9632.209515033299
128,9636.671160683496
129,9650.478558662648
130,9654.481130573788
131,9649.653890008502
132,9635.76111351712
133,9659.309388580441
134,9654.479733886152
135,9611.253473193216
136,9610.351878182764
137,9609.535740053454
138,9610.653475735282
139,9594.775836825267
140,9631.715401013993
141,9626.899543313486
142,9626.417723555955
143,9609.729862201702
144,9614.0810513305
145,9609.274010804837
146,9609.274010804837
147,9606.948907350952
148,9607.33515212363
149,9609.054139098287
150,9604.249612028738
151,9607.129106873848
152,9602.325542320412
153,9601.08614582555
154,9596.342131854153
155,9591.866796075476
156,9589.359132943457
157,9592.799267450198
158,9588.002867816474
159,9596.337739126733
160,9591.53957025717
161,9590.358722467248
162,9585.563543106015
163,9585.563543106015
164,9590.979465716957
165,9586.183975984099
166,9583.916146479667
167,9579.124188406427
168,9570.569581644235
169,9565.784296853413
170,9565.784296853413
171,9560.788552764861
172,9573.406951833114
173,9568.620248357198
174,9564.907001196412
175,9575.380812165004
176,9581.754982297141
177,9578.963803666154
178,9574.174321764322
179,9564.807304689255
180,9560.024901036912
181,9560.601830693859
182,9555.821529778512
183,9550.008391329764
184,9545.2333871341
185,9544.415503155486
186,9545.427145398775
187,9554.443300610152
188,9553.166555214877
189,9528.837317997335
190,9532.650999886191
191,9522.53193806258
192,9535.197368389388
193,9526.984882779941
194,9522.221390338553
195,9509.564710368937
196,9506.683526898769
197,9510.95636780579
198,9508.991052160738
199,9508.991052160738
