cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons
1,1775728800000,1775728800000,1775729700000,SHORT,0,-1,71374.75,0.08169851040927317,[]
5,1775732400000,1775732400000,1775733300000,FLAT,-1,0,71193.88,0.6381496734625348,[]
6,1775733300000,1775733300000,1775734200000,LONG,0,1,71078.85,0.5789366909421036,[]
8,1775735100000,1775735100000,1775736000000,FLAT,1,0,71150.17,0.10158555435500373,[]
9,1775736000000,1775736000000,1775736900000,SHORT,0,-1,71200.96,0.28757514982216437,[]
12,1775738700000,1775738700000,1775739600000,FLAT,-1,0,71279.63,0.7340874750187835,[]
13,1775739600000,1775739600000,1775740500000,LONG,0,1,71114.55,0.52610991867738,[]
16,1775742300000,1775742300000,1775743200000,FLAT,1,0,70801.98,0.40247092017386915,[]
17,1775743200000,1775743200000,1775744100000,LONG,0,1,70788.01,0.7570763066109247,[]
20,1775745900000,1775745900000,1775746800000,FLAT,1,0,71123.71,0.0634003256234992,[]
21,1775746800000,1775746800000,1775747700000,SHORT,0,-1,71338.59,0.09921547985894007,[]
22,1775747700000,1775747700000,1775748600000,FLAT,-1,0,71341.15,0.7082363643671745,[]
23,1775748600000,1775748600000,1775749500000,SHORT,0,-1,72075.75,0.1839634887678617,[]
26,1775751300000,1775751300000,1775752200000,FLAT,-1,0,72062.61,0.5477259025359442,[]
27,1775752200000,1775752200000,1775753100000,LONG,0,1,71972.11,0.8570037599527632,[]
28,1775753100000,1775753100000,1775754000000,FLAT,1,0,72080.87,0.10842002761521376,[]
29,1775754000000,1775754000000,1775754900000,SHORT,0,-1,72481.24,0.1847258263864042,[]
32,1775756700000,1775756700000,1775757600000,FLAT,-1,0,72347.49,0.5652708395948048,[]
33,1775757600000,1775757600000,1775758500000,LONG,0,1,71894.13,0.7677132273368912,[]
34,1775758500000,1775758500000,1775759400000,FLAT,1,0,71908.44,0.4725044961941678,[]
35,1775759400000,1775759400000,1775760300000,SHORT,0,-1,71855.3,0.15251138314238857,[]
37,1775761200000,1775761200000,1775762100000,FLAT,-1,0,72033.76,0.5589529125670645,[]
38,1775762100000,1775762100000,1775763000000,LONG,0,1,71824.82,0.6436616251975605,[]
39,1775763000000,1775763000000,1775763900000,FLAT,1,0,72116.21,0.051690130282761614,[]
40,1775763900000,1775763900000,1775764800000,SHORT,0,-1,72096.32,0.47379132086219194,[]
52,1775774700000,1775774700000,1775775600000,FLAT,-1,0,71946.01,0.7610589651171574,[]
53,1775775600000,1775775600000,1775776500000,LONG,0,1,71803.44,0.8048941063430807,[]
57,1775779200000,1775779200000,1775780100000,FLAT,1,0,71816.0,0.26643416010208176,[]
58,1775780100000,1775780100000,1775781000000,SHORT,0,-1,71836.95,0.3743939649858852,[]
62,1775783700000,1775783700000,1775784600000,FLAT,-1,0,71879.36,0.7765852671706023,[]
63,1775784600000,1775784600000,1775785500000,SHORT,0,-1,72298.89,0.043891875685480274,[]
64,1775785500000,1775785500000,1775786400000,FLAT,-1,0,72157.93,0.5418734805252335,[]
65,1775786400000,1775786400000,1775787300000,SHORT,0,-1,72226.08,0.1787671018596979,[]
66,1775787300000,1775787300000,1775788200000,FLAT,-1,0,72179.65,0.8184132832277737,[]
67,1775788200000,1775788200000,1775789100000,LONG,0,1,72154.65,0.6927245538589055,[]
73,1775793600000,1775793600000,1775794500000,FLAT,1,0,71867.48,0.3816959940111151,[]
