cycle,equity
1,10000.0
2,10001.625752425094
3,9996.624939548881
4,9996.624939548881
5,9968.767302305778
6,9963.782918654626
7,9962.83310031283
8,9961.141039307277
9,9985.454257022991
10,9989.249239736288
11,9984.25461511642
12,9984.25461511642
13,9978.601198036355
14,9973.611897437337
15,9973.611897437337
16,9973.611897437337
17,9973.611897437337
18,9976.55600628071
19,9971.56772827757
20,9971.56772827757
21,9971.56772827757
22,9972.958219671995
23,9967.97174056216
24,9967.97174056216
25,9967.97174056216
26,9967.97174056216
27,9947.705384547347
28,9918.392130023738
29,9905.68505645555
30,9909.57795566722
31,9917.597758177015
32,9912.638959297927
33,9896.687204120071
34,9877.41071335806
35,9885.151156640517
36,9891.263481881977
37,9879.961959325547
38,9912.321421661261
39,9876.32549675869
40,9823.350524112935
41,9788.134205935085
42,9802.210772813283
43,9796.297028916719
44,9791.398880402261
45,9819.145020864258
46,9824.155576854018
47,9819.243499065591
48,9819.243499065591
49,9824.311833396612
50,9819.399677479914
51,9819.399677479914
52,9797.366104695257
53,9792.46742164291
54,9792.46742164291
55,9814.921552932388
56,9810.014092155923
57,9810.014092155923
58,9809.177824977456
59,9788.434798485541
60,9783.5405810863
61,9802.55823548805
62,9809.401513681363
63,9770.38631831125
64,9769.469795655872
65,9768.640144785182
66,9769.776386737773
67,9764.891498544404
68,9797.603556558524
69,9795.235911810047
70,9790.338293854142
71,9790.338293854142
72,9789.876091519218
73,9809.352125857167
74,9804.44744979424
75,9804.44744979424
76,9804.44744979424
77,9804.44744979424
78,9801.081269804103
79,9796.180729169202
80,9779.023097115776
81,9774.133585567219
82,9764.416999948757
83,9759.863281025715
84,9757.311697497325
85,9760.812084144467
86,9763.375728729452
87,9758.494040865087
88,9758.494040865087
89,9749.936948959583
90,9745.061980485103
91,9745.061980485103
92,9745.061980485103
93,9734.18452700481
94,9729.31743474131
95,9729.31743474131
96,9729.31743474131
97,9710.221720506106
98,9705.366609645853
99,9705.366609645853
100,9705.366609645853
101,9687.144518373541
102,9682.300946114356
103,9688.062155898218
104,9694.511336107736
105,9689.664080439683
106,9689.664080439683
107,9689.664080439683
108,9689.664080439683
109,9689.664080439683
110,9676.618870620176
111,9671.780561184865
112,9671.780561184865
113,9662.937507805598
114,9658.106039051696
115,9658.106039051696
116,9654.567583717924
117,9649.740299926067
118,9649.740299926067
119,9634.67207578382
120,9647.486657944444
121,9639.17745968827
122,9651.01465270141
123,9646.18914537506
124,9638.443473212099
125,9642.775534486234
126,9640.782980121903
127,9632.97883521736
128,9630.227954207236
129,9638.94466768395
130,9625.600507259975
131,9628.534516928765
132,9672.690304693731
133,9667.853959541386
134,9656.199513139696
135,9657.520350508994
136,9651.295829571207
137,9650.22987795706
138,9657.612915445861
139,9652.784108988139
140,9648.483474427236
141,9641.408431363398
142,9636.587727147717
143,9636.587727147717
144,9629.868784864906
145,9625.053850472474
146,9625.053850472474
147,9629.878551639262
148,9634.018771540252
149,9624.150237171345
150,9614.045089545645
151,9609.238067000873
152,9602.49440452232
153,9591.223963677912
154,9556.25233642091
155,9545.264328581668
156,9542.394826896372
157,9536.1158091776
158,9526.527673652869
159,9527.210241266896
160,9552.276216127835
161,9561.323763705039
162,9569.178710882517
163,9564.394121527077
164,9564.394121527077
165,9564.394121527077
166,9564.394121527077
167,9564.394121527077
168,9549.395859227248
169,9557.64150618638
170,9552.862685433289
171,9541.836928143495
172,9537.066009679424
173,9537.066009679424
174,9540.679704347716
175,9544.408668334825
176,9539.636464000658
177,9525.068970764087
178,9534.712630687969
179,9529.945274372625
180,9529.945274372625
181,9529.945274372625
182,9491.461567835024
