cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775794500000,1775793600000,1775795400000,LONG,0,1,71855.99,0.17298500573460696,[],1
3,1775795400000,1775794500000,1775796300000,FLAT,1,0,71903.6,0.5772226407091333,[],1
4,1775796300000,1775795400000,1775797200000,LONG,0,1,72117.29,0.18938792637738067,[],1
5,1775797200000,1775796300000,1775798100000,FLAT,1,0,72060.04,0.5470307567275354,[],1
7,1775799000000,1775798100000,1775799900000,SHORT,0,-1,72157.04,0.09130333612730007,[],1
11,1775802600000,1775801700000,1775803500000,FLAT,-1,0,71936.66,0.7939838060106423,[],1
13,1775804400000,1775803500000,1775805300000,SHORT,0,-1,71716.23,0.7671537588026368,[],1
14,1775805300000,1775804400000,1775806200000,FLAT,-1,0,71720.98,0.4408188635581391,[],1
16,1775807100000,1775806200000,1775808000000,SHORT,0,-1,71481.85,0.4743266479939705,[],1
17,1775808000000,1775807100000,1775808900000,FLAT,-1,0,71607.99,0.6229205760658005,[],1
19,1775809800000,1775808900000,1775810700000,LONG,0,1,71700.24,0.5362497526150959,[],1
20,1775810700000,1775809800000,1775811600000,FLAT,1,0,71606.07,0.36317100620915493,[],1
22,1775812500000,1775811600000,1775813400000,LONG,0,1,71765.29,0.2401060103683161,[],1
23,1775813400000,1775812500000,1775814300000,FLAT,1,0,71811.18,0.176115085839314,[],1
27,1775817000000,1775816100000,1775817900000,SHORT,0,-1,71800.01,0.17014980857248768,[],1
32,1775821500000,1775820600000,1775822400000,FLAT,-1,0,72127.59,0.06342110289300094,[],1
33,1775822400000,1775821500000,1775823300000,SHORT,0,-1,72094.8,0.053909517247624834,[],1
44,1775832300000,1775831400000,1775833200000,FLAT,-1,0,72909.0,0.15528606696420533,[],1
45,1775833200000,1775832300000,1775834100000,SHORT,0,-1,73026.4,0.07429083909018758,[],1
47,1775835000000,1775834100000,1775835900000,FLAT,-1,0,72745.81,0.8694070859943139,[],1
49,1775836800000,1775835900000,1775837700000,LONG,0,1,72695.0,0.350556088686546,[],1
50,1775837700000,1775836800000,1775838600000,FLAT,1,0,72768.87,0.44562396110692215,[],1
52,1775839500000,1775838600000,1775840400000,LONG,0,1,72992.33,0.10333462879639674,[],1
53,1775840400000,1775839500000,1775841300000,FLAT,1,0,72865.04,0.5614508719315472,[],1
55,1775842200000,1775841300000,1775843100000,LONG,0,1,72918.0,0.24563225663314475,[],1
56,1775843100000,1775842200000,1775844000000,FLAT,1,0,73121.66,0.11947105044413735,[],1
58,1775844900000,1775844000000,1775845800000,SHORT,0,-1,72983.07,0.18537376323874882,[],1
60,1775846700000,1775845800000,1775847600000,FLAT,-1,0,73107.07,0.22898869307853434,[],1
61,1775847600000,1775846700000,1775848500000,SHORT,0,-1,73175.77,0.08149186087105952,[],1
67,1775853000000,1775852100000,1775853900000,FLAT,-1,0,73240.68,0.1821873125461939,[],1
68,1775853900000,1775853000000,1775854800000,SHORT,0,-1,73361.68,0.062072271391341374,[],1
70,1775855700000,1775854800000,1775856600000,FLAT,-1,0,73096.9,0.7114517619717161,[],1
72,1775857500000,1775856600000,1775858400000,SHORT,0,-1,73190.67,0.10660083959117445,[],1
74,1775859300000,1775858400000,1775860200000,FLAT,-1,0,73011.99,0.7036416452562392,[],1
76,1775861100000,1775860200000,1775862000000,LONG,0,1,72877.0,0.5330921511528887,[],1
77,1775862000000,1775861100000,1775862900000,FLAT,1,0,72879.93,0.7099391629928548,[],1
78,1775862900000,1775862000000,1775863800000,LONG,0,1,72892.97,0.232096973048919,[],1
79,1775863800000,1775862900000,1775864700000,FLAT,1,0,72904.39,0.7481430445148141,[],1
80,1775864700000,1775863800000,1775865600000,LONG,0,1,72962.7,0.46511684543222304,[],1
81,1775865600000,1775864700000,1775866500000,FLAT,1,0,72871.39,0.7309232814641718,[],1
82,1775866500000,1775865600000,1775867400000,LONG,0,1,72898.42,0.7451216667652331,[],1
87,1775871000000,1775870100000,1775871900000,FLAT,1,0,72854.63,0.4919165815589934,[],1
89,1775872800000,1775871900000,1775873700000,SHORT,0,-1,72966.26,0.756560998852371,[],1
90,1775873700000,1775872800000,1775874600000,FLAT,-1,0,72993.76,0.48326331082078194,[],1
93,1775876400000,1775875500000,1775877300000,LONG,0,1,73044.28,0.15118956570050576,[],1
94,1775877300000,1775876400000,1775878200000,FLAT,1,0,72999.27,0.2488464215064346,[],1
97,1775880000000,1775879100000,1775880900000,LONG,0,1,72837.99,0.2669959040084392,[],1
98,1775880900000,1775880000000,1775881800000,FLAT,1,0,72731.45,0.5228791307697728,[],1
100,1775882700000,1775881800000,1775883600000,SHORT,0,-1,72806.08,0.19914577764405322,[],1
102,1775884500000,1775883600000,1775885400000,FLAT,-1,0,72810.15,0.1279247016478222,[],1
103,1775885400000,1775884500000,1775886300000,SHORT,0,-1,72802.0,0.2655492912495532,[],1
105,1775887200000,1775886300000,1775888100000,FLAT,-1,0,72673.87,0.33392658981957435,[],1
106,1775888100000,1775887200000,1775889000000,SHORT,0,-1,72695.04,0.42321418041196823,[],1
107,1775889000000,1775888100000,1775889900000,FLAT,-1,0,72727.21,0.3918285635649186,[],1
110,1775891700000,1775890800000,1775892600000,LONG,0,1,72799.11,0.4581641622295175,[],1
111,1775892600000,1775891700000,1775893500000,FLAT,1,0,72737.5,0.5259591271577443,[],1
113,1775894400000,1775893500000,1775895300000,LONG,0,1,72770.73,0.4323569940651766,[],1
114,1775895300000,1775894400000,1775896200000,FLAT,1,0,72740.58,0.25273746211641274,[],1
116,1775897100000,1775896200000,1775898000000,LONG,0,1,72664.17,0.5498736145921821,[],1
117,1775898000000,1775897100000,1775898900000,FLAT,1,0,72673.88,0.12333499109279465,[],1
119,1775899800000,1775898900000,1775900700000,SHORT,0,-1,72829.8,0.16229839564909654,[],1
123,1775903400000,1775902500000,1775904300000,FLAT,-1,0,72783.36,0.10430432349048828,[],1
124,1775904300000,1775903400000,1775905200000,SHORT,0,-1,72843.71,0.2259526601418226,[],1
133,1775912400000,1775911500000,1775913300000,FLAT,-1,0,72605.99,0.042391507633682685,[],1
134,1775913300000,1775912400000,1775914200000,SHORT,0,-1,72616.78,0.2214914783370324,[],1
139,1775917800000,1775916900000,1775918700000,FLAT,-1,0,72657.3,0.2893562618570332,[],1
140,1775918700000,1775917800000,1775919600000,SHORT,0,-1,72704.67,0.2863807247101242,[],1
142,1775920500000,1775919600000,1775921400000,FLAT,-1,0,72754.02,0.40531503185165685,[],1
144,1775922300000,1775921400000,1775923200000,SHORT,0,-1,72858.17,0.6819593956705547,[],1
145,1775923200000,1775922300000,1775924100000,FLAT,-1,0,72872.54,0.4818263799011136,[],1
147,1775925000000,1775924100000,1775925900000,SHORT,0,-1,73107.53,0.22365213164049916,[],1
151,1775928600000,1775927700000,1775929500000,FLAT,-1,0,73154.44,0.06544565168333044,[],1
152,1775929500000,1775928600000,1775930400000,SHORT,0,-1,73095.97,0.28486216107555945,[],1
