cycle,equity
1,10000.0
2,10000.0
3,9972.132957461581
4,9967.14689098285
5,9966.196751963393
6,9964.504119684212
7,9988.825546028344
8,9992.62181000368
9,9987.62549909868
10,9987.62549909868
11,9987.62549909868
12,9974.249826832001
13,9969.262701918586
14,9969.262701918586
15,9969.262701918586
16,9956.350614211597
17,9969.427133025763
18,9964.44241945925
19,9949.482343614261
20,9944.507602442454
21,9942.827049817985
22,9939.64423314296
23,9950.65792477771
24,9941.059735020292
25,9925.81862494759
26,9896.569864910904
27,9883.890749213768
28,9887.775083339733
29,9895.777240826603
30,9900.275970587663
31,9889.294248336295
32,9870.032157366955
33,9877.76681843626
34,9883.874577690201
35,9872.581497520081
36,9904.91678691092
37,9868.947751438693
38,9816.012351795735
39,9780.822340671728
40,9794.888392168934
41,9788.979065917005
42,9784.084576384046
43,9811.809990113414
44,9816.816803151807
45,9811.908394750231
46,9811.908394750231
47,9816.972942968705
48,9812.06445649722
49,9843.966042456435
50,9826.799328672338
51,9821.885929008002
52,9821.885929008002
53,9844.407516945357
54,9839.485313186886
55,9839.485313186886
56,9838.646533696548
57,9817.841191053725
58,9812.9322704582
59,9832.007057652125
60,9838.870894405529
61,9799.73848967817
62,9794.838620433331
63,9789.109395860423
64,9790.248018699345
65,9785.352894689997
66,9818.133497692852
67,9815.760891771264
68,9810.853011325378
69,9810.853011325378
70,9810.389840489672
71,9829.90668499474
72,9824.991731652242
73,9824.991731652242
74,9820.47424691165
75,9822.231369677545
76,9823.770199584485
77,9818.858314484694
78,9801.660963516779
79,9796.76013303502
80,9796.76013303502
81,9787.29295055024
82,9784.734195907775
83,9779.841828809822
84,9777.52055057907
85,9772.63179030378
86,9772.63179030378
87,9764.062301196333
88,9759.180270045736
89,9758.764504674682
90,9748.371339836891
91,9754.378301559369
92,9756.947871018614
93,9772.11003670189
94,9775.95093385126
95,9771.062958384335
96,9756.36894231434
97,9751.490757843183
98,9751.490757843183
99,9751.490757843183
100,9751.490757843183
101,9757.293137285218
102,9763.788403395905
103,9758.906509194208
104,9749.708411608432
105,9744.833557402628
106,9744.833557402628
107,9744.833557402628
108,9731.714072830493
109,9726.848215794078
110,9726.848215794078
111,9726.848215794078
112,9723.015770539303
113,9732.19966749588
114,9727.333567662132
115,9697.697109103554
116,9701.578372954995
117,9691.27999201734
118,9704.169865458023
119,9695.81184702456
120,9707.718588728643
121,9699.669210177972
122,9696.730429335144
123,9701.088688061816
124,9699.084084041424
125,9691.232744810028
126,9688.46522828389
127,9697.234654700964
128,9683.80979758615
129,9686.761550212432
130,9731.184363091068
131,9726.318770909524
132,9714.593846094183
133,9709.736549171137
134,9698.623505272046
135,9697.552326482895
136,9692.703550319655
137,9681.537897288068
138,9682.065220912165
139,9674.965553014468
140,9670.12807023796
141,9653.732093521203
142,9651.828063675492
143,9647.002149643655
144,9612.338393375607
145,9621.9628899274
146,9626.09970660996
147,9616.239284075407
148,9606.142442777738
149,9601.33937155635
150,9594.601252299406
151,9583.340075642142
152,9548.397194705189
153,9537.418218896048
154,9534.551075911799
155,9528.277219481393
156,9518.696965306031
157,9519.378971856459
158,9514.619282370531
159,9518.873853111414
160,9526.693926267926
161,9521.930579304793
162,9521.930579304793
163,9521.930579304793
164,9521.930579304793
165,9521.930579304793
166,9506.998905576738
167,9502.24540612395
168,9502.24540612395
169,9491.278070466991
170,9486.532431431759
171,9486.532431431759
172,9490.126978395496
173,9493.83618390623
174,9489.089265814278
175,9474.598960630992
176,9484.191522172745
177,9479.449426411658
178,9479.449426411658
179,9482.542007381282
180,9477.800736377592
181,9477.800736377592
182,9454.992236264028
