cursor,bar_timestamp,bar_timestamp_utc,close_price,prob_up,regime,long_threshold,short_threshold,pre_risk_proposed_action,pre_risk_proposed_position,final_action,from_position,target_position,strategy_return,realized_pnl_pct,unrealized_pnl_pct,risk_paused,risk_stop_triggered,risk_take_profit_triggered,reason_codes
4017,1775677080000,2026-04-08T19:38:00+00:00,92488.04271663364,0.030893135129742767,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,0,0,-0.0,,,false,false,false,no_trade_signal_or_no_position_change
4018,1775677140000,2026-04-08T19:39:00+00:00,92466.44243044061,0.06652346889617915,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,SHORT,0,-1,-0.0005240975847826661,,0.0,false,false,false,""
4019,1775677200000,2026-04-08T19:40:00+00:00,92468.67064837663,0.10214364803199015,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,-0.0001743661235973921,,-0.000024097004103107444,false,false,false,no_trade_signal_or_no_position_change
4020,1775677260000,2026-04-08T19:41:00+00:00,92484.7940520318,0.11547270544532576,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,-0.0003058789976811588,,-0.00019842852848717119,false,false,false,no_trade_signal_or_no_position_change
4021,1775677320000,2026-04-08T19:42:00+00:00,92513.08320813718,0.1091084126582216,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0010511610250296666,,-0.0005041533162571943,false,false,false,no_trade_signal_or_no_position_change
4022,1775677380000,2026-04-08T19:43:00+00:00,92415.83706076346,0.015980091760801084,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0011978448506028418,,0.0005475833070027747,false,false,false,no_trade_signal_or_no_position_change
4023,1775677440000,2026-04-08T19:44:00+00:00,92305.13722622607,0.11453119352722023,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0006808062635601513,,0.0017475214171362996,false,false,false,no_trade_signal_or_no_position_change
4024,1775677500000,2026-04-08T19:45:00+00:00,92242.29531064368,0.11202635730596118,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0007418680497014002,,0.00242998202768141,false,false,false,no_trade_signal_or_no_position_change
4025,1775677560000,2026-04-08T19:46:00+00:00,92173.86369892159,0.14463095770025816,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0004885016152521598,,0.0031742049185949917,false,false,false,no_trade_signal_or_no_position_change
4026,1775677620000,2026-04-08T19:47:00+00:00,92128.83661762063,0.31606278106215185,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,-0.0005215573710235278,,0.0036644966463781348,false,false,false,no_trade_signal_or_no_position_change
4027,1775677680000,2026-04-08T19:48:00+00:00,92176.88709144238,0.17742118041288688,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.00011344759783111183,,0.0031413009067120523,false,false,false,no_trade_signal_or_no_position_change
4028,1775677740000,2026-04-08T19:49:00+00:00,92166.4298450263,0.3581600127000797,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,-0.00017516707791922045,,0.003255117789837003,false,false,false,no_trade_signal_or_no_position_change
4029,1775677800000,2026-04-08T19:50:00+00:00,92182.5743692245,0.18025574532771158,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.0009467512419056432,,0.0030794113004386503,false,false,false,no_trade_signal_or_no_position_change
4030,1775677860000,2026-04-08T19:51:00+00:00,92095.30040245838,0.24590104389906323,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,HOLD,-1,-1,0.00034463793900459545,,0.004029977928953432,false,false,false,no_trade_signal_or_no_position_change
4031,1775677920000,2026-04-08T19:52:00+00:00,92063.56086793567,0.5752443218479744,normal,0.7492079232974844,0.47825003625662693,FLAT,0,HOLD,-1,-1,-0.0004840506675112165,,0.004376124046330032,false,false,false,no_trade_signal_or_no_position_change
4032,1775677980000,2026-04-08T19:53:00+00:00,92108.12429602725,0.22285912210268435,normal,0.7492079232974844,0.47825003625662693,SHORT,-1,FLAT,-1,0,-0.0005,0.003890190329593146,,false,false,false,""
4033,1775678040000,2026-04-08T19:54:00+00:00,92153.26948288619,0.18423318158752852,high_volatility,0.7492079232974844,0.47825003625662693,SHORT,-1,SHORT,0,-1,0.000052260772120050125,,0.0,false,false,false,""
