cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775677140000,1775677080000,1775677140000,SHORT,0,-1,92466.44243044061,0.06652346889617915,[],1
16,1775677980000,1775677920000,1775677980000,FLAT,-1,0,92108.12429602725,0.22285912210268435,[],1
17,1775678040000,1775677980000,1775678040000,SHORT,0,-1,92153.26948288619,0.18423318158752852,[],1
32,1775678940000,1775678880000,1775678940000,FLAT,-1,0,91977.03439667303,0.4023380632840353,[],1
33,1775679000000,1775678940000,1775679000000,SHORT,0,-1,91983.3076039899,0.6309950002341194,[],1
34,1775679060000,1775679000000,1775679060000,FLAT,-1,0,92049.80213427132,0.20352155128814864,[],1
35,1775679120000,1775679060000,1775679120000,SHORT,0,-1,92044.4286748879,0.49500697838098434,[],1
36,1775679180000,1775679120000,1775679180000,FLAT,-1,0,92075.295566822,0.28933956873046013,[],1
37,1775679240000,1775679180000,1775679240000,SHORT,0,-1,92037.74900401541,0.3239051773371514,[],1
62,1775680740000,1775680680000,1775680740000,FLAT,-1,0,91777.55418432494,0.1371267759974369,[],1
63,1775680800000,1775680740000,1775680800000,SHORT,0,-1,91742.42094001302,0.4744963452204626,[],1
124,1775684460000,1775684400000,1775684460000,FLAT,-1,0,92093.75880082979,0.4020430996912996,[],1
125,1775684520000,1775684460000,1775684520000,SHORT,0,-1,92347.24482634534,0.0793194465220077,[],1
