cursor,bar_timestamp,bar_timestamp_utc,close_price,prob_up,regime,long_threshold,short_threshold,pre_risk_proposed_action,pre_risk_proposed_position,final_action,from_position,target_position,strategy_return,realized_pnl_pct,unrealized_pnl_pct,risk_paused,risk_stop_triggered,risk_take_profit_triggered,reason_codes
4017,1775677080000,2026-04-08T19:38:00+00:00,92488.04271663364,0.015604232638067837,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,0,0,-0.0,,,false,false,false,no_trade_signal_or_no_position_change
4018,1775677140000,2026-04-08T19:39:00+00:00,92466.44243044061,0.04226125600533829,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,SHORT,0,-1,-0.0005240975847826661,,0.0,false,false,false,""
4019,1775677200000,2026-04-08T19:40:00+00:00,92468.67064837663,0.0984778445725224,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0001743661235973921,,-0.000024097004103107444,false,false,false,no_trade_signal_or_no_position_change
4020,1775677260000,2026-04-08T19:41:00+00:00,92484.7940520318,0.055978005152155834,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0003058789976811588,,-0.00019842852848717119,false,false,false,no_trade_signal_or_no_position_change
4021,1775677320000,2026-04-08T19:42:00+00:00,92513.08320813718,0.03344798394051225,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0010511610250296666,,-0.0005041533162571943,false,false,false,no_trade_signal_or_no_position_change
4022,1775677380000,2026-04-08T19:43:00+00:00,92415.83706076346,0.01349926086704061,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0011978448506028418,,0.0005475833070027747,false,false,false,no_trade_signal_or_no_position_change
4023,1775677440000,2026-04-08T19:44:00+00:00,92305.13722622607,0.14426282033663698,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0006808062635601513,,0.0017475214171362996,false,false,false,no_trade_signal_or_no_position_change
4024,1775677500000,2026-04-08T19:45:00+00:00,92242.29531064368,0.08247540181414699,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0007418680497014002,,0.00242998202768141,false,false,false,no_trade_signal_or_no_position_change
4025,1775677560000,2026-04-08T19:46:00+00:00,92173.86369892159,0.1955461193993953,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0004885016152521598,,0.0031742049185949917,false,false,false,no_trade_signal_or_no_position_change
4026,1775677620000,2026-04-08T19:47:00+00:00,92128.83661762063,0.2380748528107724,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0005215573710235278,,0.0036644966463781348,false,false,false,no_trade_signal_or_no_position_change
4027,1775677680000,2026-04-08T19:48:00+00:00,92176.88709144238,0.26259742254122026,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00011344759783111183,,0.0031413009067120523,false,false,false,no_trade_signal_or_no_position_change
4028,1775677740000,2026-04-08T19:49:00+00:00,92166.4298450263,0.3725413658208155,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.00017516707791922045,,0.003255117789837003,false,false,false,no_trade_signal_or_no_position_change
4029,1775677800000,2026-04-08T19:50:00+00:00,92182.5743692245,0.3294749578676637,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0009467512419056432,,0.0030794113004386503,false,false,false,no_trade_signal_or_no_position_change
4030,1775677860000,2026-04-08T19:51:00+00:00,92095.30040245838,0.2889028443499961,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00034463793900459545,,0.004029977928953432,false,false,false,no_trade_signal_or_no_position_change
4031,1775677920000,2026-04-08T19:52:00+00:00,92063.56086793567,0.27621789192186413,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0004840506675112165,,0.004376124046330032,false,false,false,no_trade_signal_or_no_position_change
4032,1775677980000,2026-04-08T19:53:00+00:00,92108.12429602725,0.2680537923275322,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0004901325176685071,,0.003890190329593146,false,false,false,no_trade_signal_or_no_position_change
4033,1775678040000,2026-04-08T19:54:00+00:00,92153.26948288619,0.17289445965067135,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0005522607721200501,,0.0033983921494242786,false,false,false,no_trade_signal_or_no_position_change
4034,1775678100000,2026-04-08T19:55:00+00:00,92102.37684712818,0.39550882534987364,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.00014772419538454455,,0.0039528359177603,false,false,false,no_trade_signal_or_no_position_change
4035,1775678160000,2026-04-08T19:56:00+00:00,92115.98259664093,0.18555277144638244,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.0017586343910677227,,0.003804549698332771,false,false,false,no_trade_signal_or_no_position_change
4036,1775678220000,2026-04-08T19:57:00+00:00,92277.98093160237,0.05469274742124626,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-6.09765447883182e-6,,0.002042323606732621,false,false,false,no_trade_signal_or_no_position_change
4037,1775678280000,2026-04-08T19:58:00+00:00,92278.5436108461,0.0808314530135878,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0005274785217170472,,0.0020362135361271516,false,false,false,no_trade_signal_or_no_position_change
4038,1775678340000,2026-04-08T19:59:00+00:00,92229.86866107605,0.09144145738265248,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.000117265411470307,,0.002565045064022886,false,false,false,no_trade_signal_or_no_position_change
4039,1775678400000,2026-04-08T20:00:00+00:00,92219.05328757766,0.2047716869118367,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,-0.00009282422284781674,,0.0026826250546239105,false,false,false,no_trade_signal_or_no_position_change
4040,1775678460000,2026-04-08T20:01:00+00:00,92227.61344953084,0.1242534720317125,high_volatility,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00009941807844082412,,0.0025895604578392017,false,false,false,no_trade_signal_or_no_position_change
4041,1775678520000,2026-04-08T20:02:00+00:00,92218.4443574225,0.1409026997983914,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,4.770202157052665e-6,,0.0026892458959393295,false,false,false,no_trade_signal_or_no_position_change
4042,1775678580000,2026-04-08T20:03:00+00:00,92218.0044568003,0.1556628956185594,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0011196956420935738,,0.002694028949159044,false,false,false,no_trade_signal_or_no_position_change
4043,1775678640000,2026-04-08T20:04:00+00:00,92114.74835908746,0.36686420687018195,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.0007402039890836776,,0.003817999588753729,false,false,false,no_trade_signal_or_no_position_change
4044,1775678700000,2026-04-08T20:05:00+00:00,92046.56465489863,0.38900432004477736,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00009797003790887925,,0.004561580077607319,false,false,false,no_trade_signal_or_no_position_change
4045,1775678760000,2026-04-08T20:06:00+00:00,92037.54684947,0.4329373478091437,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00011055558459850189,,0.004660006656544979,false,false,false,no_trade_signal_or_no_position_change
4046,1775678820000,2026-04-08T20:07:00+00:00,92027.37158467305,0.41836606333721543,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00042719825197032064,,0.004771089711755883,false,false,false,no_trade_signal_or_no_position_change
4047,1775678880000,2026-04-08T20:08:00+00:00,91988.05765239865,0.5699598524359635,normal,0.7403676659679754,0.4785548450330771,FLAT,0,HOLD,-1,-1,0.000119833552386532,,0.005200509612341975,false,false,false,no_trade_signal_or_no_position_change
4048,1775678940000,2026-04-08T20:09:00+00:00,91977.03439667303,0.5390546614575364,normal,0.7403676659679754,0.4785548450330771,FLAT,0,FLAT,-1,0,-0.0005,0.005320980796759578,,false,false,false,""
4049,1775679000000,2026-04-08T20:10:00+00:00,91983.3076039899,0.7252091865319343,normal,0.7403676659679754,0.4785548450330771,FLAT,0,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
4050,1775679060000,2026-04-08T20:11:00+00:00,92049.80213427132,0.2426753955995023,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,0,0,-0.0,,,false,false,false,no_trade_signal_or_no_position_change
4051,1775679120000,2026-04-08T20:12:00+00:00,92044.4286748879,0.3643415001589767,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,SHORT,0,-1,-0.0008353477486739088,,0.0,false,false,false,""
4052,1775679180000,2026-04-08T20:13:00+00:00,92075.295566822,0.4350398530433289,normal,0.7403676659679754,0.4785548450330771,SHORT,-1,HOLD,-1,-1,0.00040778107282140615,,-0.0003352353282612963,false,false,false,no_trade_signal_or_no_position_change
