cycle,equity
1,10000.0
2,10005.935629806432
3,10000.93266199153
4,10002.180935598599
5,9991.15296757643
6,9986.157391092644
7,9973.447280744247
8,9979.380768952104
9,9980.92584672252
10,9970.16717274687
11,9968.88002821067
12,9957.319359279667
13,9957.100364134205
14,9944.286417427369
15,9948.640717712398
16,9951.810764826545
17,9967.021572121082
18,9973.899393888756
19,9970.767061489278
20,9977.412551656498
21,9966.601356841546
22,9959.225280858267
23,9962.045959535377
24,9945.273875006063
25,9945.18081731391
26,9937.366896926625
27,9938.361007032712
28,9933.391826529196
29,9933.391826529196
30,9928.775474259606
31,9939.964445422998
32,9934.994463200288
33,9924.194573508033
34,9922.457596240203
35,9912.124308062537
36,9915.503415932064
37,9920.323340187459
38,9939.89224842994
39,9935.209173445319
40,9930.241568858597
41,9920.959228869237
42,9922.820275977334
43,9926.011328167677
44,9925.791309377488
45,9934.511942894802
46,9929.869499892793
47,9937.807406245372
48,9942.234823822593
49,9942.339181678804
50,9940.064635226929
51,9959.337872426458
52,9953.11088317514
53,9955.652905891066
54,9949.953203811185
55,9964.198196058205
56,9971.380913129877
57,9966.238040279914
58,9961.254921259773
59,9958.501676376649
60,9954.63719766467
61,9960.800524884542
62,9964.063732041473
63,9965.9610901691
64,9965.830371781381
65,9960.847456595491
66,9960.847456595491
67,9956.531281507381
68,9951.68957667193
69,9965.213902227635
70,9957.147022410392
71,9952.168448899187
72,9944.873877195469
73,9958.906461400731
74,9951.999854059146
75,9947.023854132118
76,9947.023854132118
77,9944.791496826536
78,9934.208812407314
79,9930.652629673166
80,9913.979481288035
81,9916.060969930095
82,9912.341461696968
83,9907.38529096612
84,9907.38529096612
85,9892.399935968844
86,9898.82798323421
87,9893.54517876317
88,9906.26894731178
89,9912.334876005323
90,9904.642343794936
91,9897.667027971911
92,9902.600907264614
93,9900.746534457445
94,9899.620085854109
95,9909.773079422857
96,9904.111616594884
97,9905.024045984543
98,9912.69504824676
99,9907.738700722637
100,9901.733735428303
101,9899.672056173644
102,9886.280290389082
103,9878.231849997965
104,9880.914191490263
105,9880.03555120086
106,9875.09553342526
107,9878.466536524227
108,9869.402410893608
109,9867.758478699778
110,9869.42707675533
111,9864.135656709988
112,9875.494499135986
113,9882.783165153824
114,9885.246314280199
115,9899.466010996566
116,9887.948477883798
117,9888.085884123164
118,9891.145792608739
119,9884.19971774426
120,9886.74586446862
121,9878.30421041399
122,9883.892369372817
123,9892.353531511873
124,9894.679926533085
125,9880.40518224308
126,9873.05919627972
127,9877.66230826312
128,9878.025288681638
129,9857.221760009752
130,9867.102028038744
131,9868.364689776921
132,9862.178484143184
133,9870.130751558176
134,9865.195686182396
135,9855.096291014806
136,9858.083809580781
137,9872.161538326374
138,9885.029729773612
139,9888.036937199338
140,9891.847380258008
141,9898.232492533829
142,9888.606027140993
143,9893.83726849372
144,9888.299081134108
145,9883.354931593542
146,9876.835014045468
147,9880.944183344505
148,9882.063774911825
149,9858.299410241954
150,9859.889923285273
151,9865.090422441637
152,9868.763715508516
153,9868.161315962825
154,9881.16928708004
155,9876.2287024365
156,9874.903597041204
157,9883.252885652642
158,9886.282057494534
159,9879.468467291746
160,9860.653308603152
161,9855.722981948851
162,9856.91887455914
163,9854.366794280495
164,9860.80311600744
165,9855.872714449437
166,9861.176264618256
167,9859.073876940034
168,9862.913902857917
169,9867.053735374564
170,9878.963203224597
171,9865.850245367936
172,9860.917320245253
173,9860.917320245253
174,9868.234405866006
175,9870.303562201707
176,9865.368410420606
177,9865.368410420606
178,9867.405851531808
179,9862.472148606043
180,9862.472148606043
181,9848.141282053373
182,9833.225203881242
183,9827.25799010811
184,9826.718756337941
185,9826.942010848534
186,9822.417202726494
187,9823.118317023935
188,9821.450052775548
189,9829.458361379022
190,9819.184404605181
191,9827.828804030503
192,9830.986649132297
193,9830.032026998653
194,9814.36149184555
195,9817.44192833752
196,9822.409793689936
197,9826.486675278113
198,9813.40355031625
199,9834.98648318743
200,9842.577764915603
