cursor,bar_timestamp,bar_timestamp_utc,close_price,prob_up,regime,long_threshold,short_threshold,pre_risk_proposed_action,pre_risk_proposed_position,final_action,from_position,target_position,strategy_return,realized_pnl_pct,unrealized_pnl_pct,risk_paused,risk_stop_triggered,risk_take_profit_triggered,reason_codes
2417,1775581080000,2026-04-07T16:58:00+00:00,86674.76096554064,0.6498655118476597,high_volatility,0.524422892613006,0.4404468671829895,LONG,1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2418,1775581140000,2026-04-07T16:59:00+00:00,86718.70111882349,0.7202751386018494,normal,0.524422892613006,0.4404468671829895,LONG,1,LONG,0,1,-0.0023167565359057175,,0.0,false,false,false,""
2419,1775581200000,2026-04-07T17:00:00+00:00,86561.15435178061,0.7245777266253497,high_volatility,0.524422892613006,0.4404468671829895,LONG,1,HOLD,1,1,-0.0014492917716154685,,-0.0018167565359057392,false,false,false,no_trade_signal_or_no_position_change
2420,1775581260000,2026-04-07T17:01:00+00:00,86435.70198303704,0.7098631765765466,normal,0.524422892613006,0.4404468671829895,LONG,1,HOLD,1,1,-0.00020175903058094563,,-0.003263415297222627,false,false,false,no_trade_signal_or_no_position_change
2421,1775581320000,2026-04-07T17:02:00+00:00,86418.26279959736,0.729650702514676,normal,0.524422892613006,0.4404468671829895,LONG,1,HOLD,1,1,0.0012451881510561306,,-0.003464515904296861,false,false,false,no_trade_signal_or_no_position_change
2422,1775581380000,2026-04-07T17:03:00+00:00,86525.86979647027,0.23416526677699367,high_volatility,0.524422892613006,0.4404468671829895,SHORT,-1,HOLD,1,1,-0.00032417421383278534,,-0.002223641727393866,false,false,false,no_trade_signal_or_no_position_change
2423,1775581440000,2026-04-07T17:04:00+00:00,86497.8203406528,0.7755603991314605,high_volatility,0.524422892613006,0.4404468671829895,LONG,1,FLAT,1,0,-0.0005,-0.002547095093917817,,false,false,false,""
2424,1775581500000,2026-04-07T17:05:00+00:00,86506.44806917461,0.7751069251988928,normal,0.524422892613006,0.4404468671829895,LONG,1,LONG,0,1,0.00041611290063826834,,0.0,false,false,false,""
2425,1775581560000,2026-04-07T17:06:00+00:00,86585.69774223918,0.4262222473873181,normal,0.524422892613006,0.4404468671829895,SHORT,-1,HOLD,1,1,0.001685858403448249,,0.0009161129006383106,false,false,false,no_trade_signal_or_no_position_change
2426,1775581620000,2026-04-07T17:07:00+00:00,86731.66896839636,0.36863813271008455,normal,0.524422892613006,0.4404468671829895,SHORT,-1,FLAT,1,0,-0.0005,0.0026035157407184872,,false,false,false,""
2427,1775581680000,2026-04-07T17:08:00+00:00,86693.887318954,0.8527034092051312,normal,0.524422892613006,0.4404468671829895,LONG,1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2428,1775581740000,2026-04-07T17:09:00+00:00,86694.4680822318,0.34936491720856894,normal,0.524422892613006,0.4404468671829895,SHORT,-1,LONG,0,1,0.000960489101783712,,0.0,false,false,false,""
2429,1775581800000,2026-04-07T17:10:00+00:00,86821.08440805084,0.5857366136869396,normal,0.524422892613006,0.4404468671829895,LONG,1,FLAT,1,0,-0.0005,0.0014604891017837573,,false,false,false,""
2430,1775581860000,2026-04-07T17:11:00+00:00,86718.47590740422,0.5343940025866384,high_volatility,0.524422892613006,0.4404468671829895,LONG,1,LONG,0,1,0.0003321350781810956,,0.0,false,false,false,""
2431,1775581920000,2026-04-07T17:12:00+00:00,86790.63739313318,0.4045325023346051,high_volatility,0.524422892613006,0.4404468671829895,SHORT,-1,HOLD,1,1,-0.0007841616549907726,,0.0008321350781810288,false,false,false,no_trade_signal_or_no_position_change
2432,1775581980000,2026-04-07T17:13:00+00:00,86722.57950327727,0.28699385035392544,high_volatility,0.524422892613006,0.4404468671829895,SHORT,-1,FLAT,1,0,-0.0005,0.000047320894770219724,,false,false,false,""
2433,1775582040000,2026-04-07T17:14:00+00:00,86731.334864523,0.5507712726590607,high_volatility,0.524422892613006,0.4404468671829895,LONG,1,HOLD,0,0,-0.0,,,false,false,false,no_trade_signal_or_no_position_change
2434,1775582100000,2026-04-07T17:15:00+00:00,86716.4470568075,0.39273697936312496,normal,0.524422892613006,0.4404468671829895,SHORT,-1,LONG,0,1,-0.0012365577726056191,,0.0,false,false,false,""
2435,1775582160000,2026-04-07T17:16:00+00:00,86652.57538371507,0.7885880575193999,normal,0.524422892613006,0.4404468671829895,LONG,1,FLAT,1,0,-0.0005,-0.0007365577726056172,,false,false,false,""
2436,1775582220000,2026-04-07T17:17:00+00:00,86587.03446615642,0.6441226401934034,normal,0.524422892613006,0.4404468671829895,LONG,1,LONG,0,1,-0.0002616042404858841,,0.0,false,false,false,""
