cycle,equity
1,10000.0
2,9976.832434640943
3,9962.37309348663
4,9960.363094749004
5,9972.765620854803
6,9969.532707399923
7,9964.547941046223
8,9968.694317993522
9,9985.500125080918
10,9980.507375018378
11,9980.507375018378
12,9990.093543582356
13,9985.098496810566
14,9988.414898280449
15,9980.582366323079
16,9975.592075139917
17,9975.592075139917
18,9963.25667922306
19,9958.275050883449
20,9955.669923902213
21,9963.70217192173
22,9958.72032083577
23,9958.72032083577
24,9949.047031804825
25,9944.072508288922
26,9944.072508288922
27,9945.738177507574
28,9966.415595467955
29,9961.432387670222
30,9961.432387670222
31,9962.704262831601
32,9969.352523322286
33,9965.33848544582
34,9962.364290627138
35,9966.823380151005
36,9961.83996846093
37,9961.83996846093
38,9957.76340828414
39,9965.800489457153
40,9961.240854609807
41,9946.95191370689
42,9932.10115061014
43,9927.135100034835
44,9927.135100034835
45,9921.1576018783
46,9912.042111996034
47,9907.086090940036
48,9907.086090940036
49,9898.883544536116
50,9909.42927557234
51,9914.81094801355
52,9915.135586428676
53,9911.723277366962
54,9908.529701487465
55,9911.293771189676
56,9916.067144472598
57,9909.15787709222
58,9909.641651976379
59,9893.947514238018
60,9895.800367864125
61,9901.95843976635
62,9897.007460546467
63,9897.007460546467
64,9898.74883719202
65,9896.850293605787
66,9891.901868458985
67,9891.901868458985
68,9887.651437331691
69,9882.707611613027
70,9870.945949923827
71,9859.998812820588
72,9855.068813414178
73,9855.068813414178
74,9855.40638030335
75,9849.24379246267
76,9854.974121801646
77,9850.046634740746
78,9827.707050993537
79,9822.79319746804
80,9834.685108367155
81,9829.767765812972
82,9815.085290158264
83,9810.599451961041
84,9805.69415223506
85,9792.778271220443
86,9788.83374680291
87,9779.216362317808
88,9774.32675413665
89,9774.32675413665
90,9772.406049584386
91,9767.519846559595
92,9767.519846559595
93,9767.080801174685
94,9753.706902994736
95,9751.845701637449
96,9746.96977878663
97,9740.948475679636
98,9745.266142327611
99,9744.986678340892
100,9733.730225801606
101,9728.863360688705
102,9736.949768082266
103,9732.081293198225
104,9713.307795098004
105,9708.451141200456
106,9717.202293368406
107,9712.343692221722
108,9712.343692221722
109,9707.830458715782
110,9710.484410993127
111,9701.983454814652
112,9697.132463087246
113,9697.132463087246
114,9696.632428440162
115,9698.700928332812
116,9693.851577868645
117,9687.858666653286
118,9696.058602962501
119,9689.626230997406
120,9684.781417881908
121,9684.781417881908
122,9684.781417881908
123,9676.070244852503
124,9671.232209730077
125,9668.651922110043
126,9662.441577449552
127,9662.596087545753
128,9666.120550141866
129,9668.308655462424
130,9652.669080581232
131,9665.697475427758
132,9661.68699720903
133,9674.301722237513
134,9674.935410205546
135,9678.055709369179
136,9693.790768764968
137,9690.61708682964
138,9685.771778286226
139,9685.771778286226
140,9674.308742294723
141,9669.471587923575
142,9653.053645541797
143,9648.227118719027
144,9648.227118719027
145,9653.724828806085
146,9666.757294134572
147,9661.923915487505
148,9650.102041281543
149,9645.276990260903
150,9645.276990260903
151,9654.04073127375
152,9650.267243906046
153,9645.442110284093
154,9645.442110284093
155,9629.192457739699
156,9624.37786151083
157,9624.37786151083
158,9622.65756161638
159,9616.6500586489
160,9609.523085801062
161,9604.718324258161
162,9604.718324258161
163,9592.5906097231
164,9600.121052621687
165,9595.320992095378
166,9595.320992095378
167,9594.204540981615
168,9589.407438711125
169,9589.407438711125
170,9595.49355971704
171,9590.695812937183
172,9590.695812937183
173,9592.020036672124
174,9575.456249911678
175,9571.709965615159
176,9566.125465340418
177,9578.080111550202
178,9584.111775620713
179,9574.54274723021
180,9572.180952618068
181,9586.4509080599
182,9581.65768260587
183,9580.790586139543
184,9569.910786864739
185,9570.383434867252
186,9568.644163207862
187,9559.53647109105
188,9554.756702855506
189,9557.279702653037
190,9558.572082058607
191,9552.13253569564
192,9561.979459713131
193,9557.198469983276
194,9546.007329583794
195,9550.362683531648
196,9553.130536650722
197,9566.94277750107
198,9571.881810728584
199,9567.09586982322
200,9567.09586982322
