cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775581140000,1775581080000,1775581140000,LONG,0,1,86718.70111882349,0.7202751386018494,[],1
7,1775581440000,1775581380000,1775581440000,FLAT,1,0,86497.8203406528,0.7755603991314605,[],1
8,1775581500000,1775581440000,1775581500000,LONG,0,1,86506.44806917461,0.7751069251988928,[],1
10,1775581620000,1775581560000,1775581620000,FLAT,1,0,86731.66896839636,0.36863813271008455,[],1
12,1775581740000,1775581680000,1775581740000,LONG,0,1,86694.4680822318,0.34936491720856894,[],1
13,1775581800000,1775581740000,1775581800000,FLAT,1,0,86821.08440805084,0.5857366136869396,[],1
14,1775581860000,1775581800000,1775581860000,LONG,0,1,86718.47590740422,0.5343940025866384,[],1
16,1775581980000,1775581920000,1775581980000,FLAT,1,0,86722.57950327727,0.28699385035392544,[],1
18,1775582100000,1775582040000,1775582100000,LONG,0,1,86716.4470568075,0.39273697936312496,[],1
19,1775582160000,1775582100000,1775582160000,FLAT,1,0,86652.57538371507,0.7885880575193999,[],1
20,1775582220000,1775582160000,1775582220000,LONG,0,1,86587.03446615642,0.6441226401934034,[],1
22,1775582340000,1775582280000,1775582340000,FLAT,1,0,86677.55163901801,0.3964687028698412,[],1
24,1775582460000,1775582400000,1775582460000,SHORT,0,-1,86676.93603945307,0.5293033566355994,[],1
25,1775582520000,1775582460000,1775582520000,FLAT,-1,0,86717.79022145407,0.5790556145312631,[],1
27,1775582640000,1775582580000,1775582640000,LONG,0,1,86705.37123722174,0.6723235193587517,[],1
29,1775582760000,1775582700000,1775582760000,FLAT,1,0,86943.6301786324,0.2951955166681265,[],1
31,1775582880000,1775582820000,1775582880000,LONG,0,1,86889.82812233777,0.7270544759936415,[],1
36,1775583180000,1775583120000,1775583180000,FLAT,1,0,86980.31459866423,0.3379123334573831,[],1
38,1775583300000,1775583240000,1775583300000,LONG,0,1,86898.75546178209,0.8374789965660814,[],1
43,1775583600000,1775583540000,1775583600000,FLAT,1,0,86682.67630523429,0.30586418364118045,[],1
45,1775583720000,1775583660000,1775583720000,LONG,0,1,86510.14696971969,0.7176973088942783,[],1
