cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775611140000,1775611080000,1775611140000,LONG,0,1,89267.64532234904,0.5585159235880293,[],1
4,1775611260000,1775611200000,1775611260000,FLAT,1,0,89284.62784917103,0.4137282040755615,[],1
7,1775611440000,1775611380000,1775611440000,LONG,0,1,89170.63386929892,0.4467083381973174,[],1
8,1775611500000,1775611440000,1775611500000,FLAT,1,0,89124.79100612819,0.6931350139047825,[],1
9,1775611560000,1775611500000,1775611560000,LONG,0,1,89189.86325155561,0.7252726991851597,[],1
12,1775611740000,1775611680000,1775611740000,FLAT,1,0,89175.98841919958,0.3979797328778144,[],1
14,1775611860000,1775611800000,1775611860000,SHORT,0,-1,89105.06579723815,0.6196318753980058,[],1
15,1775611920000,1775611860000,1775611920000,FLAT,-1,0,89168.08926336837,0.616463040427242,[],1
17,1775612040000,1775611980000,1775612040000,LONG,0,1,89329.21075767519,0.5791870587917698,[],1
19,1775612160000,1775612100000,1775612160000,FLAT,1,0,89086.48932648372,0.3804737981363747,[],1
22,1775612340000,1775612280000,1775612340000,SHORT,0,-1,89039.30327173937,0.2057361552552248,[],1
25,1775612520000,1775612460000,1775612520000,FLAT,-1,0,89196.51662965365,0.4727317041926546,[],1
27,1775612640000,1775612580000,1775612640000,LONG,0,1,89181.13388055934,0.5009296187803486,[],1
28,1775612700000,1775612640000,1775612700000,FLAT,1,0,89173.61088116429,0.5398587967078289,[],1
29,1775612760000,1775612700000,1775612760000,LONG,0,1,89191.39909965177,0.12929039913507312,[],1
30,1775612820000,1775612760000,1775612820000,FLAT,1,0,89305.99774632051,0.16474140343317953,[],1
33,1775613000000,1775612940000,1775613000000,LONG,0,1,89475.03834674956,0.67705045602703,[],1
35,1775613120000,1775613060000,1775613120000,FLAT,1,0,89449.29979945872,0.433600286019829,[],1
38,1775613300000,1775613240000,1775613300000,SHORT,0,-1,89106.32357524928,0.41968641353019587,[],1
39,1775613360000,1775613300000,1775613360000,FLAT,-1,0,89036.46373459909,0.42098749254480394,[],1
41,1775613480000,1775613420000,1775613480000,SHORT,0,-1,89085.40877462464,0.4194716564490433,[],1
42,1775613540000,1775613480000,1775613540000,FLAT,-1,0,89100.16696805535,0.3080081167535329,[],1
43,1775613600000,1775613540000,1775613600000,SHORT,0,-1,89239.38283632179,0.14320055068081636,[],1
45,1775613720000,1775613660000,1775613720000,FLAT,-1,0,89151.59190439647,0.6489753143001498,[],1
47,1775613840000,1775613780000,1775613840000,SHORT,0,-1,89124.74779329984,0.34104853173224436,[],1
49,1775613960000,1775613900000,1775613960000,FLAT,-1,0,89017.72142772944,0.46797207363715077,[],1
51,1775614080000,1775614020000,1775614080000,LONG,0,1,89072.51537657612,0.4988993161398045,[],1
52,1775614140000,1775614080000,1775614140000,FLAT,1,0,89217.35858479096,0.17904743298614004,[],1
54,1775614260000,1775614200000,1775614260000,SHORT,0,-1,89291.12789102871,0.6410585390001694,[],1
55,1775614320000,1775614260000,1775614320000,FLAT,-1,0,89289.15375150928,0.373413406217918,[],1
57,1775614440000,1775614380000,1775614440000,SHORT,0,-1,89249.36904895886,0.5234375566825455,[],1
58,1775614500000,1775614440000,1775614500000,FLAT,-1,0,89259.55368847505,0.20638875927327532,[],1
59,1775614560000,1775614500000,1775614560000,SHORT,0,-1,89283.76585581408,0.28550702001122796,[],1
61,1775614680000,1775614620000,1775614680000,FLAT,-1,0,89223.22081246639,0.20049898773357036,[],1
62,1775614740000,1775614680000,1775614740000,SHORT,0,-1,89182.01115777816,0.6473468651880374,[],1
63,1775614800000,1775614740000,1775614800000,FLAT,-1,0,89345.965368801,0.21746875979742952,[],1
64,1775614860000,1775614800000,1775614860000,SHORT,0,-1,89341.4189088017,0.1706157070443495,[],1
66,1775614980000,1775614920000,1775614980000,FLAT,-1,0,89440.30233202211,0.31012792442417725,[],1
67,1775615040000,1775614980000,1775615040000,SHORT,0,-1,89460.41410331093,0.3550646770275851,[],1
68,1775615100000,1775615040000,1775615100000,FLAT,-1,0,89368.86446355011,0.37936055373272276,[],1
71,1775615280000,1775615220000,1775615280000,SHORT,0,-1,89469.55746530677,0.12094093768465264,[],1
74,1775615460000,1775615400000,1775615460000,FLAT,-1,0,89633.8562770296,0.6757089123885631,[],1
76,1775615580000,1775615520000,1775615580000,LONG,0,1,89748.57165649602,0.27794778147354415,[],1
77,1775615640000,1775615580000,1775615640000,FLAT,1,0,89920.00021103595,0.047787173467075214,[],1
79,1775615760000,1775615700000,1775615760000,SHORT,0,-1,89834.70949729822,0.6042516308155278,[],1
80,1775615820000,1775615760000,1775615820000,FLAT,-1,0,89750.66877671237,0.5791743785895538,[],1
82,1775615940000,1775615880000,1775615940000,SHORT,0,-1,89977.92405502159,0.14204100760803262,[],1
85,1775616120000,1775616060000,1775616120000,FLAT,-1,0,90097.31836907731,0.19926362428882524,[],1
86,1775616180000,1775616120000,1775616180000,SHORT,0,-1,90239.17469532574,0.1282367510931239,[],1
90,1775616420000,1775616360000,1775616420000,FLAT,-1,0,89943.9427925633,0.7463402164180521,[],1
92,1775616540000,1775616480000,1775616540000,LONG,0,1,90003.68947223813,0.7664701177471619,[],1
95,1775616720000,1775616660000,1775616720000,FLAT,1,0,90204.57348333189,0.3099940374717037,[],1
97,1775616840000,1775616780000,1775616840000,LONG,0,1,90186.62761090134,0.4280458064217812,[],1
98,1775616900000,1775616840000,1775616900000,FLAT,1,0,90258.79904790112,0.5548951307226957,[],1
99,1775616960000,1775616900000,1775616960000,LONG,0,1,90220.20331694624,0.33801871536321665,[],1
100,1775617020000,1775616960000,1775617020000,FLAT,1,0,90177.04691410786,0.8322906499056656,[],1
101,1775617080000,1775617020000,1775617080000,LONG,0,1,90254.19746220026,0.4284861229561224,[],1
102,1775617140000,1775617080000,1775617140000,FLAT,1,0,90283.0044351761,0.4667609193638019,[],1
104,1775617260000,1775617200000,1775617260000,SHORT,0,-1,90053.67087323869,0.6772097908779704,[],1
105,1775617320000,1775617260000,1775617320000,FLAT,-1,0,90162.33898137254,0.36181452062678626,[],1
108,1775617500000,1775617440000,1775617500000,LONG,0,1,90129.95532413875,0.6133026122893108,[],1
111,1775617680000,1775617620000,1775617680000,FLAT,1,0,90091.98780972323,0.09700257882556775,[],1
116,1775617980000,1775617920000,1775617980000,SHORT,0,-1,90006.6997249962,0.6991642353426326,[],1
117,1775618040000,1775617980000,1775618040000,FLAT,-1,0,90033.89770655677,0.8350876627111153,[],1
120,1775618220000,1775618160000,1775618220000,SHORT,0,-1,90161.55138359146,0.40233464815372844,[],1
121,1775618280000,1775618220000,1775618280000,FLAT,-1,0,90156.5251933765,0.49519378000049985,[],1
