cursor,bar_timestamp,bar_timestamp_utc,close_price,prob_up,regime,long_threshold,short_threshold,pre_risk_proposed_action,pre_risk_proposed_position,final_action,from_position,target_position,strategy_return,realized_pnl_pct,unrealized_pnl_pct,risk_paused,risk_stop_triggered,risk_take_profit_triggered,reason_codes
2417,1775641080000,2026-04-08T09:38:00+00:00,90098.47994313735,0.6277155517337221,normal,0.6582781044224901,0.4790120608837367,FLAT,0,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2418,1775641140000,2026-04-08T09:39:00+00:00,90110.00569974812,0.8181802115625912,normal,0.6582781044224901,0.4790120608837367,LONG,1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2419,1775641200000,2026-04-08T09:40:00+00:00,90199.29770396235,0.12665102376950826,normal,0.6582781044224901,0.4790120608837367,SHORT,-1,LONG,0,1,-0.000473684370406421,,0.0,false,false,false,""
2420,1775641260000,2026-04-08T09:41:00+00:00,90201.67135527033,0.3778732759992058,normal,0.6582781044224901,0.4790120608837367,SHORT,-1,FLAT,1,0,-0.0005,0.000026315629593653966,,false,false,false,""
2421,1775641320000,2026-04-08T09:42:00+00:00,90195.25692343524,0.19768301032326702,normal,0.6582781044224901,0.4790120608837367,SHORT,-1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2422,1775641380000,2026-04-08T09:43:00+00:00,90272.93102472537,0.6290573732492631,normal,0.6582781044224901,0.4790120608837367,FLAT,0,SHORT,0,-1,0.00025268488574310016,,0.0,false,false,false,""
2423,1775641440000,2026-04-08T09:44:00+00:00,90204.98395395133,0.8081513804131957,normal,0.6582781044224901,0.4790120608837367,LONG,1,FLAT,-1,0,-0.0005,0.0007532518470234617,,false,false,false,""
2424,1775641500000,2026-04-08T09:45:00+00:00,90407.57819800577,0.43211271017679825,high_volatility,0.6582781044224901,0.4790120608837367,SHORT,-1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2425,1775641560000,2026-04-08T09:46:00+00:00,90436.19251152282,0.5851200747180413,high_volatility,0.6582781044224901,0.4790120608837367,FLAT,0,SHORT,0,-1,-0.000820906589248206,,0.0,false,false,false,""
2426,1775641620000,2026-04-08T09:47:00+00:00,90465.21408160629,0.3545521625669514,high_volatility,0.6582781044224901,0.4790120608837367,SHORT,-1,FLAT,-1,0,-0.0005,-0.00032080364124587035,,false,false,false,""
2427,1775641680000,2026-04-08T09:48:00+00:00,90504.55924597674,0.36757746127861746,high_volatility,0.6582781044224901,0.4790120608837367,SHORT,-1,SHORT,0,-1,-0.0020040677925747446,,0.0,false,false,false,""
