cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
3,1775641200000,1775641140000,1775641200000,LONG,0,1,90199.29770396235,0.12665102376950826,[],1
4,1775641260000,1775641200000,1775641260000,FLAT,1,0,90201.67135527033,0.3778732759992058,[],1
6,1775641380000,1775641320000,1775641380000,SHORT,0,-1,90272.93102472537,0.6290573732492631,[],1
7,1775641440000,1775641380000,1775641440000,FLAT,-1,0,90204.98395395133,0.8081513804131957,[],1
9,1775641560000,1775641500000,1775641560000,SHORT,0,-1,90436.19251152282,0.5851200747180413,[],1
10,1775641620000,1775641560000,1775641620000,FLAT,-1,0,90465.21408160629,0.3545521625669514,[],1
11,1775641680000,1775641620000,1775641680000,SHORT,0,-1,90504.55924597674,0.36757746127861746,[],1
17,1775642040000,1775641980000,1775642040000,FLAT,-1,0,90675.3312307233,0.6718069439071527,[],1
19,1775642160000,1775642100000,1775642160000,LONG,0,1,90625.0284461083,0.3443368669324806,[],1
20,1775642220000,1775642160000,1775642220000,FLAT,1,0,90580.21768625347,0.8711729507271653,[],1
21,1775642280000,1775642220000,1775642280000,LONG,0,1,90589.19771192869,0.6597335726128334,[],1
24,1775642460000,1775642400000,1775642460000,FLAT,1,0,90854.31439467313,0.311811509398096,[],1
26,1775642580000,1775642520000,1775642580000,SHORT,0,-1,90865.87977620086,0.17810746658384724,[],1
28,1775642700000,1775642640000,1775642700000,FLAT,-1,0,90922.11816636268,0.5974842219351351,[],1
31,1775642880000,1775642820000,1775642880000,LONG,0,1,90943.97712671768,0.6289332385298269,[],1
32,1775642940000,1775642880000,1775642940000,FLAT,1,0,90907.12897535367,0.2516047190164473,[],1
34,1775643060000,1775643000000,1775643060000,SHORT,0,-1,90794.55916169244,0.5271683121945819,[],1
35,1775643120000,1775643060000,1775643120000,FLAT,-1,0,90846.90008877817,0.7408423415723964,[],1
37,1775643240000,1775643180000,1775643240000,SHORT,0,-1,91041.79856815992,0.4139128995018804,[],1
41,1775643480000,1775643420000,1775643480000,FLAT,-1,0,91042.52695074024,0.5532053220576402,[],1
44,1775643660000,1775643600000,1775643660000,SHORT,0,-1,91094.48613768963,0.278262105818654,[],1
46,1775643780000,1775643720000,1775643780000,FLAT,-1,0,90902.03767972565,0.460267949283302,[],1
47,1775643840000,1775643780000,1775643840000,SHORT,0,-1,90804.72286124711,0.651948463552415,[],1
48,1775643900000,1775643840000,1775643900000,FLAT,-1,0,90841.80123458765,0.687579826696657,[],1
50,1775644020000,1775643960000,1775644020000,SHORT,0,-1,91091.67020786897,0.39390769876304077,[],1
52,1775644140000,1775644080000,1775644140000,FLAT,-1,0,91061.1433714769,0.4584452236639257,[],1
53,1775644200000,1775644140000,1775644200000,SHORT,0,-1,91130.35393977402,0.4046038777319209,[],1
55,1775644320000,1775644260000,1775644320000,FLAT,-1,0,91001.01189369515,0.45979840510765096,[],1
56,1775644380000,1775644320000,1775644380000,SHORT,0,-1,91081.62558079137,0.5207387302124589,[],1
57,1775644440000,1775644380000,1775644440000,FLAT,-1,0,91123.06279566183,0.09835809694533468,[],1
58,1775644500000,1775644440000,1775644500000,SHORT,0,-1,91030.69399134244,0.44109682210084133,[],1
60,1775644620000,1775644560000,1775644620000,FLAT,-1,0,90924.60140498783,0.8411817059166385,[],1
62,1775644740000,1775644680000,1775644740000,LONG,0,1,90993.99937553357,0.41411812177164986,[],1
63,1775644800000,1775644740000,1775644800000,FLAT,1,0,90997.14158273299,0.6679574342326672,[],1
64,1775644860000,1775644800000,1775644860000,LONG,0,1,90963.10040060634,0.31228274047562193,[],1
65,1775644920000,1775644860000,1775644920000,FLAT,1,0,91028.85259261179,0.3639868752789021,[],1
68,1775645100000,1775645040000,1775645100000,SHORT,0,-1,91261.79400956609,0.626280704607623,[],1
69,1775645160000,1775645100000,1775645160000,FLAT,-1,0,91341.61781569946,0.22494807182024323,[],1
70,1775645220000,1775645160000,1775645220000,SHORT,0,-1,91396.34763008186,0.44142167024009826,[],1
74,1775645460000,1775645400000,1775645460000,FLAT,-1,0,91324.65463779256,0.6714061795498327,[],1
76,1775645580000,1775645520000,1775645580000,LONG,0,1,91239.07903194119,0.7433326664012447,[],1
78,1775645700000,1775645640000,1775645700000,FLAT,1,0,91364.06987800411,0.6214953208706162,[],1
81,1775645880000,1775645820000,1775645880000,SHORT,0,-1,91516.9936918559,0.20674728085098604,[],1
90,1775646420000,1775646360000,1775646420000,FLAT,-1,0,91715.55697000238,0.6717061339864936,[],1
92,1775646540000,1775646480000,1775646540000,SHORT,0,-1,91791.2479400536,0.4955727659102851,[],1
93,1775646600000,1775646540000,1775646600000,FLAT,-1,0,91717.94225349382,0.2880796086420177,[],1
94,1775646660000,1775646600000,1775646660000,SHORT,0,-1,91756.78929176138,0.8334732186839803,[],1
95,1775646720000,1775646660000,1775646720000,FLAT,-1,0,91657.64190050404,0.1815156019297322,[],1
96,1775646780000,1775646720000,1775646780000,SHORT,0,-1,91614.18420696698,0.49843661246072196,[],1
97,1775646840000,1775646780000,1775646840000,FLAT,-1,0,91693.90682869445,0.35772987095718345,[],1
98,1775646900000,1775646840000,1775646900000,SHORT,0,-1,91721.58766283216,0.6138176037933958,[],1
99,1775646960000,1775646900000,1775646960000,FLAT,-1,0,91701.36184647422,0.07177809299721433,[],1
100,1775647020000,1775646960000,1775647020000,SHORT,0,-1,91735.54569963944,0.555100410903429,[],1
101,1775647080000,1775647020000,1775647080000,FLAT,-1,0,91733.0254950115,0.5871481501508264,[],1
106,1775647380000,1775647320000,1775647380000,LONG,0,1,91718.29224678519,0.3196512215596458,[],1
107,1775647440000,1775647380000,1775647440000,FLAT,1,0,91605.30748233008,0.10115809241991408,[],1
111,1775647680000,1775647620000,1775647680000,SHORT,0,-1,91591.56952163391,0.28630628970766786,[],1
114,1775647860000,1775647800000,1775647860000,FLAT,-1,0,91590.45650060978,0.44364560060309627,[],1
115,1775647920000,1775647860000,1775647920000,SHORT,0,-1,91578.77589699213,0.4539057444113064,[],1
121,1775648280000,1775648220000,1775648280000,FLAT,-1,0,91690.90672722568,0.7248451937552007,[],1
123,1775648400000,1775648340000,1775648400000,SHORT,0,-1,91698.1183862533,0.36924165694108685,[],1
126,1775648580000,1775648520000,1775648580000,FLAT,-1,0,91730.79303629274,0.867036622934116,[],1
128,1775648700000,1775648640000,1775648700000,SHORT,0,-1,91744.47451296067,0.3705248431203794,[],1
133,1775649000000,1775648940000,1775649000000,FLAT,-1,0,91885.156385332,0.24727822311170125,[],1
134,1775649060000,1775649000000,1775649060000,SHORT,0,-1,91833.0983223897,0.39528053903129684,[],1
146,1775649780000,1775649720000,1775649780000,FLAT,-1,0,91735.28719404415,0.550530883075187,[],1
148,1775649900000,1775649840000,1775649900000,SHORT,0,-1,91826.79376310785,0.24006140669416318,[],1
153,1775650200000,1775650140000,1775650200000,FLAT,-1,0,92020.8083766443,0.14019061831021304,[],1
154,1775650260000,1775650200000,1775650260000,SHORT,0,-1,92075.42137827446,0.22888423929434493,[],1
