cursor,bar_timestamp,bar_timestamp_utc,close_price,prob_up,regime,long_threshold,short_threshold,pre_risk_proposed_action,pre_risk_proposed_position,final_action,from_position,target_position,strategy_return,realized_pnl_pct,unrealized_pnl_pct,risk_paused,risk_stop_triggered,risk_take_profit_triggered,reason_codes
2417,1775671080000,2026-04-08T17:58:00+00:00,91904.68151704429,0.20464601092701243,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2418,1775671140000,2026-04-08T17:59:00+00:00,91922.59423963922,0.14218084932002217,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,SHORT,0,-1,-0.0008322419629632844,,0.0,false,false,false,""
2419,1775671200000,2026-04-08T18:00:00+00:00,91953.13478279008,0.29039752737698227,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,HOLD,-1,-1,-0.0002752736546118606,,-0.0003321316149036413,false,false,false,no_trade_signal_or_no_position_change
2420,1775671260000,2026-04-08T18:01:00+00:00,91978.44705825475,0.16883002406904685,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,HOLD,-1,-1,0.00022971226095248732,,-0.0006072381128608972,false,false,false,no_trade_signal_or_no_position_change
2421,1775671320000,2026-04-08T18:02:00+00:00,91957.3184812221,0.5945305216825039,normal,0.7468698680429599,0.47900372015575876,FLAT,0,HOLD,-1,-1,0.0008499198586995132,,-0.00037761259415114434,false,false,false,no_trade_signal_or_no_position_change
2422,1775671380000,2026-04-08T18:03:00+00:00,91879.16213009215,0.7064157046596371,normal,0.7468698680429599,0.47900372015575876,FLAT,0,FLAT,-1,0,-0.0005,0.00047270902933971293,,false,false,false,""
2423,1775671440000,2026-04-08T18:04:00+00:00,91929.34259940514,0.6594237443042106,normal,0.7468698680429599,0.47900372015575876,FLAT,0,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2424,1775671500000,2026-04-08T18:05:00+00:00,91932.09002883648,0.469682552574377,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,HOLD,0,0,0.0,,,false,false,false,no_trade_signal_or_no_position_change
2425,1775671560000,2026-04-08T18:06:00+00:00,91998.47079017412,0.23849448749260974,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,SHORT,0,-1,-0.001144367199487786,,0.0,false,false,false,""
2426,1775671620000,2026-04-08T18:07:00+00:00,92057.75158715434,0.4689351366580683,normal,0.7468698680429599,0.47900372015575876,SHORT,-1,HOLD,-1,-1,0.0011025837419230715,,-0.0006439522577748047,false,false,false,no_trade_signal_or_no_position_change
