cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775671140000,1775671080000,1775671140000,SHORT,0,-1,91922.59423963922,0.14218084932002217,[],1
6,1775671380000,1775671320000,1775671380000,FLAT,-1,0,91879.16213009215,0.7064157046596371,[],1
9,1775671560000,1775671500000,1775671560000,SHORT,0,-1,91998.47079017412,0.23849448749260974,[],1
12,1775671740000,1775671680000,1775671740000,FLAT,-1,0,91853.95657076006,0.6085533753126525,[],1
15,1775671920000,1775671860000,1775671920000,SHORT,0,-1,91782.82689200154,0.27182102847605716,[],1
28,1775672700000,1775672640000,1775672700000,FLAT,-1,0,92256.49890340975,0.1158166043510085,[],1
29,1775672760000,1775672700000,1775672760000,SHORT,0,-1,92254.65710870227,0.6459002374383072,[],1
30,1775672820000,1775672760000,1775672820000,FLAT,-1,0,92351.87582367045,0.47594261013202527,[],1
31,1775672880000,1775672820000,1775672880000,SHORT,0,-1,92210.1034712994,0.7228577854889747,[],1
32,1775672940000,1775672880000,1775672940000,FLAT,-1,0,92207.90814397347,0.6914648822455329,[],1
36,1775673180000,1775673120000,1775673180000,SHORT,0,-1,92328.31409100017,0.6202765667164573,[],1
37,1775673240000,1775673180000,1775673240000,FLAT,-1,0,92300.4252453574,0.8151496380749133,[],1
40,1775673420000,1775673360000,1775673420000,LONG,0,1,92106.61274115152,0.8617603422116958,[],1
43,1775673600000,1775673540000,1775673600000,FLAT,1,0,92077.61121936273,0.564268575277059,[],1
45,1775673720000,1775673660000,1775673720000,SHORT,0,-1,92274.2524779356,0.7373587174232699,[],1
46,1775673780000,1775673720000,1775673780000,FLAT,-1,0,92313.79331086302,0.13691267484060948,[],1
47,1775673840000,1775673780000,1775673840000,SHORT,0,-1,92282.45415759036,0.7259964477987698,[],1
48,1775673900000,1775673840000,1775673900000,FLAT,-1,0,92266.84293498573,0.7558806748832914,[],1
54,1775674260000,1775674200000,1775674260000,SHORT,0,-1,91837.21316278864,0.1516894021427129,[],1
56,1775674380000,1775674320000,1775674380000,FLAT,-1,0,91873.83215802419,0.21304473140945837,[],1
57,1775674440000,1775674380000,1775674440000,SHORT,0,-1,91999.19918738332,0.5180261433291146,[],1
58,1775674500000,1775674440000,1775674500000,FLAT,-1,0,91952.47662981186,0.46279852356691203,[],1
59,1775674560000,1775674500000,1775674560000,SHORT,0,-1,91975.82811813017,0.8582873417705152,[],1
60,1775674620000,1775674560000,1775674620000,FLAT,-1,0,92000.3928932404,0.7556586202262426,[],1
62,1775674740000,1775674680000,1775674740000,SHORT,0,-1,92039.73072018815,0.07885924629928946,[],1
67,1775675040000,1775674980000,1775675040000,FLAT,-1,0,91985.08971234463,0.9327275340717862,[],1
69,1775675160000,1775675100000,1775675160000,LONG,0,1,91885.05875442005,0.7511779520222756,[],1
71,1775675280000,1775675220000,1775675280000,FLAT,1,0,91839.09117896226,0.16136844940434816,[],1
73,1775675400000,1775675340000,1775675400000,SHORT,0,-1,91863.70429429389,0.6207274420652996,[],1
74,1775675460000,1775675400000,1775675460000,FLAT,-1,0,91886.11430576749,0.4536520950958917,[],1
75,1775675520000,1775675460000,1775675520000,SHORT,0,-1,91812.91504097074,0.1986050424941492,[],1
77,1775675640000,1775675580000,1775675640000,FLAT,-1,0,91744.42531408335,0.2994896420526782,[],1
78,1775675700000,1775675640000,1775675700000,SHORT,0,-1,91789.8957174969,0.21475715053763011,[],1
80,1775675820000,1775675760000,1775675820000,FLAT,-1,0,91817.70942992582,0.26345922620096063,[],1
81,1775675880000,1775675820000,1775675880000,SHORT,0,-1,91801.72357618688,0.6731486661469647,[],1
82,1775675940000,1775675880000,1775675940000,FLAT,-1,0,91756.45932869952,0.340825237792009,[],1
83,1775676000000,1775675940000,1775676000000,SHORT,0,-1,91667.48852651633,0.5526922796153079,[],1
84,1775676060000,1775676000000,1775676060000,FLAT,-1,0,91687.66048645788,0.509331989721647,[],1
86,1775676180000,1775676120000,1775676180000,SHORT,0,-1,91776.01166092529,0.4516657043586634,[],1
91,1775676480000,1775676420000,1775676480000,FLAT,-1,0,92040.25479780977,0.28852002544371036,[],1
