cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
2,1775701140000,1775701080000,1775701140000,LONG,0,1,93012.51021951734,0.403528745090366,[],1
3,1775701200000,1775701140000,1775701200000,FLAT,1,0,93114.22525743011,0.9283118381091076,[],1
4,1775701260000,1775701200000,1775701260000,LONG,0,1,93201.18886725852,0.9275004476393139,[],1
6,1775701380000,1775701320000,1775701380000,FLAT,1,0,93156.59866751343,0.8126576522567814,[],1
7,1775701440000,1775701380000,1775701440000,LONG,0,1,93107.27725119257,0.8653816233164009,[],1
28,1775702700000,1775702640000,1775702700000,FLAT,1,0,92708.03112087611,0.41028133850954507,[],1
30,1775702820000,1775702760000,1775702820000,LONG,0,1,92663.88890547553,0.8459509052353263,[],1
32,1775702940000,1775702880000,1775702940000,FLAT,1,0,92771.58589879177,0.7566843162523472,[],1
33,1775703000000,1775702940000,1775703000000,LONG,0,1,92773.93493124173,0.7569968248068327,[],1
40,1775703420000,1775703360000,1775703420000,FLAT,1,0,92822.37836731275,0.5735613355634223,[],1
41,1775703480000,1775703420000,1775703480000,LONG,0,1,92804.59922769862,0.896720276124383,[],1
58,1775704500000,1775704440000,1775704500000,FLAT,1,0,93187.62386297833,0.9344075914103004,[],1
59,1775704560000,1775704500000,1775704560000,LONG,0,1,93227.23236313561,0.8617614499118833,[],1
65,1775704920000,1775704860000,1775704920000,FLAT,1,0,93316.70185478275,0.5193092873182911,[],1
67,1775705040000,1775704980000,1775705040000,LONG,0,1,93369.13717326257,0.716730366430598,[],1
71,1775705280000,1775705220000,1775705280000,FLAT,1,0,93381.13818801758,0.8046101836096463,[],1
72,1775705340000,1775705280000,1775705340000,LONG,0,1,93414.5589838611,0.703532360349384,[],1
75,1775705520000,1775705460000,1775705520000,FLAT,1,0,93459.71724078768,0.3434511354300486,[],1
77,1775705640000,1775705580000,1775705640000,LONG,0,1,93337.64385206225,0.5978862078870396,[],1
83,1775706000000,1775705940000,1775706000000,FLAT,1,0,93058.71905066936,0.21799985089689472,[],1
85,1775706120000,1775706060000,1775706120000,LONG,0,1,93032.8585184631,0.9491871415962172,[],1
99,1775706960000,1775706900000,1775706960000,FLAT,1,0,93129.33034660568,0.9353432494421509,[],1
100,1775707020000,1775706960000,1775707020000,LONG,0,1,93190.74170245153,0.849667141135881,[],1
106,1775707380000,1775707320000,1775707380000,FLAT,1,0,92976.6631922557,0.7191863497033346,[],1
107,1775707440000,1775707380000,1775707440000,LONG,0,1,92984.02652817658,0.6865430611174727,[],1
134,1775709060000,1775709000000,1775709060000,FLAT,1,0,92983.73086000033,0.6226709305175394,[],1
135,1775709120000,1775709060000,1775709120000,LONG,0,1,92935.83271901056,0.6378683951719923,[],1
145,1775709720000,1775709660000,1775709720000,FLAT,1,0,93200.10449475706,0.7753896265748291,[],1
146,1775709780000,1775709720000,1775709780000,LONG,0,1,93225.42086401756,0.8637611372782441,[],1
155,1775710320000,1775710260000,1775710320000,FLAT,1,0,93251.43778835678,0.7837803835925574,[],1
156,1775710380000,1775710320000,1775710380000,LONG,0,1,93276.2445497403,0.6225443477434784,[],1
161,1775710680000,1775710620000,1775710680000,FLAT,1,0,93175.71324289117,0.6882867508703608,[],1
162,1775710740000,1775710680000,1775710740000,LONG,0,1,93142.46238807282,0.5713549428394753,[],1
165,1775710920000,1775710860000,1775710920000,FLAT,1,0,93237.0622690478,0.6937268529048093,[],1
166,1775710980000,1775710920000,1775710980000,LONG,0,1,93249.88280443195,0.5905051673843156,[],1
172,1775711340000,1775711280000,1775711340000,FLAT,1,0,93390.93077895,0.4282941905513802,[],1
174,1775711460000,1775711400000,1775711460000,LONG,0,1,93423.4537792725,0.6459089356428181,[],1
176,1775711580000,1775711520000,1775711580000,FLAT,1,0,93559.10162592639,0.12716486481971545,[],1
178,1775711700000,1775711640000,1775711700000,LONG,0,1,93597.17737456237,0.33402348099985885,[],1
179,1775711760000,1775711700000,1775711760000,FLAT,1,0,93663.30608141067,0.1738072624043157,[],1
181,1775711880000,1775711820000,1775711880000,SHORT,0,-1,93664.88057954703,0.24544659889035084,[],1
